noise_axis,noise_value,runtime_sec,gicp_x,gicp_y,gicp_z,gicp_roll_deg,gicp_pitch_deg,gicp_yaw_deg,error_x,error_y,error_z,error_roll,error_pitch,error_yaw,mahalanobis_distance,min_eigenvalue
Z,-0.10000000000000009,0.02424038600292988,0.016166926517048045,0.017439700043618687,0.13477348438216302,0.1025715843880756,0.1657195854453574,-0.037174359612149294,-0.015765728532414723,-0.01769151335876917,-0.1347881927397458,-0.10267951313658942,-0.1656527347922486,0.03747112924929145,2185182.864829533,45646.62783467719
Z,-0.0500000000000001,0.024743439000303624,0.014406253269060205,0.015633738338164564,0.08217639224988642,0.1088040091376532,0.15323086886306447,-0.03956475098417196,-0.014175631809504164,-0.015799778883986284,-0.08218474189838533,-0.10891018346405715,-0.1531554228293873,0.039855805126727914,838930.9303929325,45188.42901709886
Z,-1.1102230246251565e-16,0.02406928699929267,0.015207889109229544,0.01502109356081275,0.03567585293842793,0.08714890369338472,0.17004799545772376,-0.044127694148084,-0.015090366707276176,-0.015087117001426903,-0.035697890120157456,-0.08728022820622404,-0.16998062827262406,0.044386486960951446,182381.0405091508,46389.528547885544
Z,0.04999999999999982,0.024249507001513848,0.017523162254107764,0.01921299433258572,-0.015990171112274475,0.09839800945059826,0.1620131865750124,-0.04454449469139142,-0.017553364622559308,-0.01919920763835566,0.015973595565631566,-0.0985243298879678,-0.16193639908907947,0.044822843983711454,66729.10587712741,48989.36129031914
Z,0.09999999999999987,0.027099638999061426,0.013023969523913388,0.01585515353296028,-0.06410544231678225,0.11026600436334116,0.16946449790544874,-0.04004237479615162,-0.013202433966752442,-0.01574092581353099,0.06409708575458263,-0.11038489351028569,-0.16938708066839123,0.04036861162403144,483943.1153035217,46155.23620694447
Z,0.1499999999999999,0.026624846999766305,0.015360695748076168,0.017645842185129386,-0.11488468515756309,0.10400179030972406,0.1672668146443183,-0.03666217791953249,-0.015684724942219563,-0.017447185107904065,0.11487124417946076,-0.10410924212052926,-0.16719995637825927,0.036965892638950976,1522267.6321356304,44870.384646692415
Z,0.19999999999999984,0.027114568998513278,0.013781965122126755,0.016199439074963323,-0.16780596811159754,0.10736218805139446,0.15348344501673244,-0.039617648756378465,-0.014220227838150922,-0.015894568040690945,0.16779855526753612,-0.10746867488898328,-0.1534089021630817,0.03990532264402681,3252554.896248566,44466.92915319744
Z,0.24999999999999978,0.027271264996670652,0.014595809568999914,0.01519323829701972,-0.21404191262491137,0.08851334607696038,0.17146513929108803,-0.044599447155780146,-0.015224460873156917,-0.014873983565656886,0.2140205431986963,-0.08864718538206995,-0.17139598303797515,0.04486448197737468,5229553.255119942,45680.74291527987
Z,0.2999999999999998,0.027353322999260854,0.016787672418192606,0.019610969385323394,-0.2658928737649395,0.09826396205504921,0.16251591462018733,-0.04450756784056886,-0.0175265535986136,-0.019168044811206895,0.2658774950263771,-0.09839057059529395,-0.16243929451895953,0.044786401483010226,8035377.027281736,48097.92011429683
Z,0.34999999999999987,0.02670503099943744,0.012468645991333602,0.01644134296364559,-0.3141797280621921,0.11022695224138411,0.16907013204393526,-0.040183168730797456,-0.013384147676842217,-0.01584570055480269,0.31417266714568026,-0.11034597864260313,-0.16899247199483491,0.04050853094722533,11381836.188858403,45428.91017870931
Z,0.3999999999999998,0.029892372000176692,0.014593446965341499,0.01811072722514037,-0.3649560884275133,0.10363609648617624,0.16693043315380116,-0.03665823507748735,-0.01564508755599002,-0.017459981542658338,0.3649442339524766,-0.10374331831520159,-0.1668638185808113,0.03696027354294185,15327714.303535618,44162.52656821496
